past,current
KT,SKT
KT,SKT
SKT,SKT
KT,KT
KT,KT
SKT,SKT
SKT,SKT
SKT,SKT
SKT,SKT
LGU+,SKT
KT,KT
SKT,SKT
LGU+,SKT
LGU+,LGU+
LGU+,SKT
LGU+,LGU+
SKT,SKT
KT,KT
SKT,SKT
LGU+,LGU+
KT,KT
LGU+,LGU+
KT,KT
LGU+,LGU+
KT,KT
KT,SKT
KT,KT
LGU+,SKT
SKT,SKT
SKT,SKT
SKT,SKT
KT,SKT
KT,SKT
SKT,SKT
SKT,SKT
LGU+,LGU+
KT,KT
KT,KT
KT,KT
LGU+,LGU+
LGU+,SKT
KT,SKT
KT,SKT
SKT,SKT
SKT,SKT
SKT,SKT
KT,KT
KT,KT
SKT,SKT
KT,KT
KT,SKT
KT,SKT
LGU+,LGU+
SKT,SKT
KT,KT
SKT,SKT
SKT,SKT
SKT,SKT
SKT,SKT
SKT,SKT
KT,KT
KT,KT
LGU+,LGU+
SKT,SKT
KT,KT
SKT,SKT
LGU+,LGU+
LGU+,LGU+
SKT,SKT
SKT,SKT
SKT,SKT
KT,KT
KT,KT
LGU+,SKT
LGU+,LGU+
LGU+,SKT
SKT,SKT
KT,KT
KT,KT
LGU+,LGU+
SKT,SKT
KT,SKT
SKT,SKT
KT,KT
SKT,SKT
KT,KT
KT,KT
KT,KT
SKT,SKT
KT,KT
SKT,SKT
SKT,SKT
KT,SKT
KT,SKT
KT,KT
KT,KT
SKT,SKT
SKT,SKT
SKT,SKT
SKT,SKT
KT,KT
KT,KT
KT,KT
SKT,SKT
SKT,SKT
SKT,SKT
SKT,SKT
LGU+,SKT
KT,KT
SKT,SKT
SKT,SKT
SKT,SKT
KT,KT
LGU+,LGU+
LGU+,LGU+
LGU+,LGU+
LGU+,LGU+
SKT,SKT
KT,KT
LGU+,LGU+
LGU+,LGU+
SKT,SKT
LGU+,SKT
SKT,SKT
LGU+,LGU+
LGU+,LGU+
KT,KT
KT,KT
KT,KT
LGU+,LGU+
LGU+,LGU+
LGU+,LGU+
KT,KT
SKT,SKT
LGU+,LGU+
LGU+,LGU+
LGU+,LGU+
SKT,SKT
SKT,SKT
LGU+,LGU+
SKT,SKT
SKT,SKT
SKT,SKT
SKT,SKT
KT,KT
KT,KT
SKT,SKT
KT,KT
KT,KT
SKT,SKT
KT,KT
KT,KT
SKT,SKT
KT,KT
SKT,SKT
KT,KT
SKT,SKT
SKT,SKT
SKT,SKT
SKT,SKT
LGU+,SKT
KT,KT
KT,KT
KT,KT
LGU+,LGU+
SKT,SKT
SKT,SKT
LGU+,LGU+
SKT,SKT
SKT,SKT
SKT,SKT
LGU+,LGU+
KT,KT
LGU+,LGU+
LGU+,LGU+
KT,KT
SKT,SKT
SKT,SKT
KT,KT
SKT,SKT
LGU+,LGU+
SKT,SKT
LGU+,LGU+
LGU+,LGU+
KT,KT
SKT,SKT
LGU+,LGU+
SKT,SKT
LGU+,LGU+
SKT,SKT
KT,KT
SKT,SKT
KT,KT
SKT,SKT
KT,KT
LGU+,SKT
SKT,SKT
KT,KT
SKT,SKT
SKT,SKT
KT,KT
LGU+,LGU+
LGU+,LGU+
KT,KT
KT,KT
SKT,SKT
SKT,SKT
SKT,SKT
SKT,SKT
LGU+,LGU+
LGU+,LGU+
SKT,SKT
KT,KT
KT,KT
LGU+,LGU+
KT,KT
LGU+,LGU+
SKT,SKT
KT,KT
KT,KT
LGU+,LGU+
KT,KT
KT,KT
LGU+,LGU+
LGU+,LGU+
SKT,SKT
SKT,SKT
SKT,SKT
KT,KT
KT,KT
LGU+,LGU+
LGU+,LGU+
SKT,SKT
LGU+,LGU+
SKT,SKT
LGU+,LGU+
SKT,SKT
KT,KT
SKT,SKT
SKT,SKT
LGU+,LGU+
SKT,SKT
LGU+,SKT
SKT,SKT
SKT,SKT
SKT,SKT
SKT,SKT
SKT,SKT
KT,KT
LGU+,LGU+
LGU+,LGU+
KT,KT
LGU+,LGU+
SKT,SKT
KT,KT
LGU+,LGU+
SKT,SKT
LGU+,LGU+
SKT,SKT
LGU+,LGU+
SKT,SKT
LGU+,LGU+
LGU+,LGU+
KT,KT
KT,KT
SKT,SKT
SKT,SKT
KT,KT
LGU+,LGU+
SKT,SKT
SKT,SKT
SKT,SKT
KT,KT
KT,KT
SKT,SKT
KT,KT
SKT,SKT
SKT,SKT
KT,KT
LGU+,LGU+
LGU+,LGU+
SKT,SKT
LGU+,LGU+
KT,KT
LGU+,SKT
SKT,SKT
KT,KT
LGU+,SKT
SKT,SKT
LGU+,LGU+
KT,KT
KT,KT
SKT,SKT
SKT,SKT
KT,SKT
LGU+,LGU+
SKT,SKT
KT,SKT
KT,SKT
SKT,SKT
