priority,quantity,sales,shipping,price,cost,customer,category,name,container,margin
Low,6,261.54,Regular Air,38.94,35,Small Business,Office Supplies,"Eldon Base for stackable storage shelf, platinum",Large Box,0.8
Not Specified,2,6.93,Regular Air,2.08,2.56,Corporate,Office Supplies,Kleencut¢ç Forged Office Shears by Acme United Corporation,Small Pack,0.55
High,26,2808.08,Regular Air,107.53,5.81,Corporate,Furniture,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Medium Box,0.65
High,24,1761.4,Delivery Truck,70.89,89.3,Corporate,Furniture,KI Conference Tables,Jumbo Box,0.72
High,23,160.2335,Regular Air,7.99,5.03,Corporate,Technology,Bell Sonecor JB700 Caller ID,Medium Box,0.6
High,15,140.56,Regular Air,8.46,8.99,Corporate,Technology,"Imation 3.5 IBM Diskettes, 10/Box",Small Pack,0.79
Not Specified,30,288.56,Regular Air,9.11,2.25,Corporate,Office Supplies,Dixon Ticonderoga Core-Lock Colored Pencils,Wrap Bag,0.52
Not Specified,14,1892.848,Regular Air,155.99,8.99,Corporate,Technology,CF 688,Small Box,0.58
Critical,46,2484.7455,Regular Air,65.99,4.2,Home Office,Technology,6162i,Small Box,0.55
Critical,32,3812.73,Regular Air,115.79,1.99,Corporate,Technology,"Verbatim DVD-R, 4.7GB, Spindle, WE, Blank, Ink Jet/Thermal, 20/Spindle",Small Pack,0.49
Low,41,108.15,Regular Air,2.88,0.7,Consumer,Office Supplies,Newell 340,Wrap Bag,0.56
Not Specified,42,1186.06,Regular Air,30.93,3.92,Corporate,Furniture,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",Small Pack,0.44
Not Specified,28,51.53,Express Air,1.68,0.7,Corporate,Office Supplies,Newell 308,Wrap Bag,0.6
Low,48,90.05,Regular Air,1.86,2.58,Home Office,Office Supplies,"Super Bands, 12/Pack",Wrap Bag,0.82
Low,46,7804.53,Regular Air,205.99,5.99,Home Office,Technology,3285,Small Box,0.59
High,37,4158.1235,Regular Air,125.99,8.99,Home Office,Technology,SC7868i,Small Box,0.55
Medium,26,75.57,Regular Air,2.89,0.5,Consumer,Office Supplies,Avery 498,Small Box,0.38
Low,4,32.72,Regular Air,6.48,8.19,Corporate,Office Supplies,Xerox 217,Small Box,0.37
High,3,461.89,Express Air,150.98,13.99,Corporate,Technology,Canon MP41DH Printing Calculator,Medium Box,0.38
High,29,575.11,Regular Air,18.97,9.03,Corporate,Office Supplies,Computer Printout Paper with Letter-Trim Perforations,Small Box,0.37
High,23,236.46,Regular Air,9.71,9.45,Corporate,Office Supplies,Filing/Storage Totes and Swivel Casters,Small Box,0.6
