name,time,driving,owner,location,engine,price
Bajaj Avenger Cruise,2017,17000,first owner,hyderabad,19,63500
Royal Enfield Classic,2016,50000,first owner,hyderabad,19.8,115000
Hyosung GT250R 2012,2012,14795,first owner,hyderabad,28,300000
KTM Duke,2012,24561,third owner,bangalore,25,63400
Bajaj Pulsar,2016,19718,first owner,bangalore,17,55000
KTM Duke,2018,1350,first owner,jaipur,42.9,198000
Royal Enfield Classic,2018,25000,first owner,chennai,19.8,136900
Royal Enfield Himalayan,2016,26240,first owner,ghaziabad,24.5,112000
Royal Enfield Bullet,2017,18866,first owner,delhi,19.8,110000
Royal Enfield Classic,2019,12634,first owner,delhi,19.8,160000
Royal Enfield Bullet,2016,13000,first owner,delhi,19.8,111000
Royal Enfield Thunderbird,2019,28000,first owner,delhi,19.8,131500
Royal Enfield Electra,2018,23350,first owner,delhi,19,115000
Bajaj Avenger Street,2016,9551,first owner,delhi,19,52000
Royal Enfield Bullet,2018,23522,first owner,ludhiana,19.8,190000
Royal Enfield Thunderbird,2015,25000,first owner,delhi,19.8,67000
Yamaha SZ-RR,2012,12000,first owner,delhi,12,28000
Yamaha FZs,2015,10168,first owner,delhi,13,44000
Royal Enfield Classic,2018,7000,first owner,delhi,19.8,141500
Royal Enfield Classic,2016,12000,first owner,delhi,19.8,110000
Bajaj Pulsar 220F,2016,26683,first owner,delhi,21,65000
UM Renegade Commando,2018,6900,first owner,bangalore,24.8,148000
Hero Achiever,2019,15000,first owner,jaunpur,13,48000
Honda CBR 250R,2011,30202,second owner,mumbai,26.15,58000
Hero Glamour Disc,2019,50000,first owner,chittorgarh,8.9,63000
Hero Super Splendor,2019,40000,first owner,chittorgarh,9,60000
Royal Enfield Classic,2015,20805,first owner,delhi,19.8,95000
Bajaj Pulsar 220F,2016,28200,first owner,bangalore,21,58000
Royal Enfield Classic,2011,50000,first owner,thalassery,19.8,70000
Bajaj Avenger Street,2016,14000,first owner,hyderabad,19,55000
Bajaj Pulsar,2015,55000,first owner,chittorgarh,21,45000
Bajaj Pulsar,2018,30000,first owner,delhi,17,62000
Royal Enfield Bullet,2018,1650,first owner,bathinda,19.8,140000
Hero Ignitor,2014,45000,first owner,hyderabad,11,30000
Hero Karizma R,2009,33000,first owner,delhi,17,18000
KTM RC,2021,5700,first owner,mumbai,24.6,207500
Royal Enfield Himalayan,2019,15000,second owner,mumbai,24.5,181562
Royal Enfield Thunderbird,2013,21000,first owner,dehradun,27.2,110000
Royal Enfield Classic,2020,9000,first owner,mumbai,19.1,207500
Suzuki Gixxer,2015,35000,first owner,pune,14,54468
Bajaj Pulsar,2017,20864,first owner,delhi,21,55000
Hero Passion Xpro,2019,44228,first owner,chittorgarh,8,57000
Husqvarna Svartpilen 250,2020,7000,first owner,mumbai,29.63,197125
Royal Enfield Bullet,2019,7714,first owner,delhi,19.8,135000
Yamaha FZs,2012,60000,first owner,delhi,13,32000
Royal Enfield Classic,2020,5389,first owner,delhi,19.8,165000
Hero Splendor ISmart,2017,34000,first owner,chittorgarh,7,45000
Hero Passion Pro,2018,30000,first owner,chittorgarh,8.2,42000
Bajaj Pulsar,2010,38000,second owner,dehradun,21,30000
Bajaj Avenger Street,2017,9563,second owner,navi mumbai,14.3,39000
Hero Passion Pro,2011,67000,first owner,delhi,8.2,26000
Hero Passion Pro,2011,56194,first owner,delhi,8.2,20000
Yamaha FZs,2014,27000,second owner,hyderabad,13,48500
Yamaha SZ RR,2013,37788,first owner,siliguri,11.9,43000
Royal Enfield Classic,2014,23000,first owner,bangalore,19.8,114500
KTM RC,2016,28000,first owner,pune,25.1,90000
