case,time,season,holiday,working,weather,temp,atemp,humidity,windspeed,casual,registered,total
1,2011-01-01 0:00,spring,No,No,sunny,9.84,14.395,81,0,3,13,16
2,2011-01-01 1:00,spring,No,No,sunny,9.02,13.635,80,0,8,32,40
3,2011-01-01 2:00,spring,No,No,sunny,9.02,13.635,80,0,5,27,32
4,2011-01-01 3:00,spring,No,No,sunny,9.84,14.395,75,0,3,10,13
5,2011-01-01 4:00,spring,No,No,sunny,9.84,14.395,75,0,0,1,1
6,2011-01-01 5:00,spring,No,No,cloudy,9.84,12.88,75,6.0032,0,1,1
7,2011-01-01 6:00,spring,No,No,sunny,9.02,13.635,80,0,2,0,2
8,2011-01-01 7:00,spring,No,No,sunny,8.2,12.88,86,0,1,2,3
9,2011-01-01 8:00,spring,No,No,sunny,9.84,14.395,75,0,1,7,8
10,2011-01-01 9:00,spring,No,No,sunny,13.12,17.425,76,0,8,6,14
11,2011-01-01 10:00,spring,No,No,sunny,15.58,19.695,76,16.9979,12,24,36
12,2011-01-01 11:00,spring,No,No,sunny,14.76,16.665,81,19.0012,26,30,56
13,2011-01-01 12:00,spring,No,No,sunny,17.22,21.21,77,19.0012,29,55,84
14,2011-01-01 13:00,spring,No,No,cloudy,18.86,22.725,72,19.9995,47,47,94
15,2011-01-01 14:00,spring,No,No,cloudy,18.86,22.725,72,19.0012,35,71,106
16,2011-01-01 15:00,spring,No,No,cloudy,18.04,21.97,77,19.9995,40,70,110
17,2011-01-01 16:00,spring,No,No,cloudy,17.22,21.21,82,19.9995,41,52,93
18,2011-01-01 17:00,spring,No,No,cloudy,18.04,21.97,82,19.0012,15,52,67
19,2011-01-01 18:00,spring,No,No,weak rain snow,17.22,21.21,88,16.9979,9,26,35
20,2011-01-01 19:00,spring,No,No,weak rain snow,17.22,21.21,88,16.9979,6,31,37
21,2011-01-01 20:00,spring,No,No,cloudy,16.4,20.455,87,16.9979,11,25,36
22,2011-01-01 21:00,spring,No,No,cloudy,16.4,20.455,87,12.998,3,31,34
23,2011-01-01 22:00,spring,No,No,cloudy,16.4,20.455,94,15.0013,11,17,28
24,2011-01-01 23:00,spring,No,No,cloudy,18.86,22.725,88,19.9995,15,24,39
25,2011-01-02 0:00,spring,No,No,cloudy,18.86,22.725,88,19.9995,4,13,17
26,2011-01-02 1:00,spring,No,No,cloudy,18.04,21.97,94,16.9979,1,16,17
27,2011-01-02 2:00,spring,No,No,cloudy,17.22,21.21,100,19.0012,1,8,9
28,2011-01-02 3:00,spring,No,No,cloudy,18.86,22.725,94,12.998,2,4,6
29,2011-01-02 4:00,spring,No,No,cloudy,18.86,22.725,94,12.998,2,1,3
30,2011-01-02 6:00,spring,No,No,weak rain snow,17.22,21.21,77,19.9995,0,2,2
31,2011-01-02 7:00,spring,No,No,cloudy,16.4,20.455,76,12.998,0,1,1
32,2011-01-02 8:00,spring,No,No,weak rain snow,16.4,20.455,71,15.0013,0,8,8
33,2011-01-02 9:00,spring,No,No,cloudy,15.58,19.695,76,15.0013,1,19,20
34,2011-01-02 10:00,spring,No,No,cloudy,14.76,17.425,81,15.0013,7,46,53
35,2011-01-02 11:00,spring,No,No,cloudy,14.76,16.665,71,16.9979,16,54,70
36,2011-01-02 12:00,spring,No,No,cloudy,14.76,16.665,66,19.9995,20,73,93
37,2011-01-02 13:00,spring,No,No,cloudy,14.76,17.425,66,8.9981,11,64,75
38,2011-01-02 14:00,spring,No,No,weak rain snow,14.76,17.425,76,12.998,4,55,59
39,2011-01-02 15:00,spring,No,No,weak rain snow,13.94,16.665,81,11.0014,19,55,74
