id,churn,promotion,phone,internet,security,streaming,unlimited,gender,marriage,city,churn_category,churn_reason,age,no_dependents,cltv,population,monthly_charge,extra_data_charge,long_charge,total_contact,noreferral,duration,download,total_service_issue
8779-QRDMV,1,None,No,Yes,No,Yes,No,Male,No,Los Angeles,Competitor,Competitor offered more data,78,0,5433,68701,41.236,0,0,5,0,1,9,0
7495-OOKFY,1,Offer E,Yes,Yes,No,No,No,Female,Yes,Los Angeles,Competitor,Competitor made better offer,74,1,5302,55668,83.876,120,390.8,5,1,8,19,0
1658-BYGOY,1,Offer D,Yes,Yes,No,Yes,Yes,Male,No,Los Angeles,Competitor,Competitor made better offer,71,3,3179,47534,99.268,0,203.94,1,0,18,57,0
4598-XLKNJ,1,Offer C,Yes,Yes,No,Yes,No,Female,Yes,Inglewood,Dissatisfaction,Limited range of services,78,1,5337,27778,102.44,327,494,1,1,25,13,1
4846-WHAFZ,1,Offer C,Yes,Yes,No,No,No,Female,Yes,Whittier,Price,Extra data charges,80,1,2793,26265,79.56,430,234.21,1,1,37,15,0
4412-YLTKF,1,Offer C,Yes,Yes,No,No,No,Female,No,Pico Rivera,Competitor,Competitor had better devices,72,1,4638,63288,81.172,427,89.91,0,0,27,20,0
0390-DCFDQ,1,Offer E,Yes,Yes,No,No,No,Female,Yes,Los Alamitos,Other,Don't know,76,2,3964,21343,73.268,0,15.28,7,1,1,33,0
3445-HXXGF,1,Offer B,No,Yes,No,Yes,No,Male,Yes,Sierra Madre,Dissatisfaction,Service dissatisfaction,66,0,5444,10558,47.112,689,0,2,6,58,26,1
2656-FMOKZ,1,Offer D,Yes,Yes,No,No,No,Female,No,Pasadena,Dissatisfaction,Limited range of services,70,2,5717,23742,77.428,241,661.05,3,0,15,21,0
2070-FNEXE,1,Offer E,Yes,Yes,Yes,No,No,Female,No,Pasadena,Price,Lack of affordable download/upload speed,77,2,4419,32369,79.508,101,188.65,3,0,7,20,0
0094-OIFMO,1,Offer D,Yes,Yes,No,Yes,No,Female,No,North Hollywood,Dissatisfaction,Product dissatisfaction,78,1,5980,57146,98.8,358,127.49,2,0,11,32,2
9947-OTFQU,1,Offer D,Yes,Yes,No,No,No,Male,No,Covina,Competitor,Competitor had better devices,65,0,4616,33817,77.376,344,436.65,0,0,15,32,0
9514-JDSKI,1,Offer E,No,Yes,No,No,Yes,Male,Yes,El Monte,Dissatisfaction,Limited range of services,77,0,5828,62660,41.808,0,0,2,1,1,13,0
7273-TEFQD,1,Offer E,No,Yes,No,Yes,No,Male,No,La Puente,Price,Long distance charges,67,0,2314,30802,42.796,41,0,7,0,3,31,1
3606-TWKGI,1,Offer D,Yes,Yes,No,Yes,No,Male,No,Rowland Heights,Competitor,Competitor had better devices,68,0,2494,46342,111.176,164,424.84,1,0,13,12,2
4385-GZQXV,1,Offer D,Yes,Yes,No,Yes,No,Female,No,Ontario,Competitor,Competitor had better devices,68,0,3810,49474,98.228,151,150.88,0,0,16,10,0
3488-PGMQJ,1,None,Yes,Yes,No,No,Yes,Male,No,Alpine,Dissatisfaction,Poor expertise of online support,66,0,4345,16486,77.48,0,14.24,5,0,8,8,2
7534-BFESC,1,Offer C,Yes,Yes,No,No,Yes,Male,No,San Diego,Competitor,Competitor made better offer,69,0,2018,34902,79.144,0,740.88,0,,24,16,0
8098-LLAZX,1,Offer E,Yes,Yes,No,Yes,No,Female,No,San Diego,Competitor,Competitor made better offer,74,0,3677,34902,99.268,8,126.44,4,0,4,2,0
0265-EDXBD,1,Offer C,Yes,Yes,No,No,No,Male,Yes,San Diego,Attitude,Attitude of support person,76,0,4105,34902,77.896,253,1514.88,4,2,32,11,0
2840-XANRC,1,Offer C,Yes,Yes,No,Yes,Yes,Male,Yes,San Diego,Competitor,Competitor made better offer,77,0,2212,34902,96.876,0,386.4,1,1,24,13,0
5020-ZSTTY,1,Offer B,Yes,Yes,Yes,Yes,Yes,Female,No,San Diego,Competitor,Competitor made better offer,70,0,4149,34902,85.748,0,652.32,3,0,54,6,0
5804-LEPIM,1,Offer E,Yes,Yes,No,No,No,Female,No,San Diego,Other,Don't know,74,0,2671,34902,73.164,15,26.34,4,0,2,11,0
0623-IIHUG,1,None,No,Yes,Yes,No,Yes,Female,No,San Diego,Competitor,Competitor made better offer,77,0,4778,34902,43.576,0,0,2,0,21,9,0
9057-MSWCO,1,None,No,Yes,Yes,No,No,Male,Yes,San Diego,Competitor,Competitor made better offer,71,0,2927,34902,31.98,113,0,2,0,27,14,0
4895-TMWIR,1,None,Yes,No,No,No,No,Male,Yes,San Diego,Competitor,Competitor made better offer,79,0,5888,34902,19.95,0,324.94,2,1,11,0,0
0533-BNWKF,1,Offer B,Yes,Yes,No,No,Yes,Female,Yes,San Diego,Competitor,Competitor made better offer,66,0,5502,34902,88.868,0,2355.1,4,2,55,30,0
0334-GDDSO,1,Offer E,Yes,Yes,No,No,Yes,Male,No,San Diego,Competitor,Competitor made better offer,,0,2818,34902,84.604,3.51,27.66,1,0,3,15,3
5564-NEMQO,1,Offer E,Yes,Yes,No,No,Yes,Female,No,Thermal,Dissatisfaction,Network reliability,80,0,4902,17018,78.312,0,35.09,7,0,1,19,1
6235-VDHOM,1,Offer E,No,Yes,No,No,No,Female,No,Riverside,Dissatisfaction,Limited range of services,77,0,4099,63999,29.588,38,0,4,0,5,29,0
5609-CEBID,1,None,Yes,Yes,No,Yes,No,Female,No,Hemet,Competitor,Competitor had better devices,77,0,2666,39264,97.864,232,974.6,4,0,20,13,1
5956-VKDTT,1,Offer E,Yes,Yes,No,No,No,Female,Yes,Moreno Valley,Dissatisfaction,Product dissatisfaction,72,0,5273,46214,77.324,80,228.8,4,4,5,24,2
0257-ZESQC,1,None,Yes,Yes,Yes,No,Yes,Female,Yes,Perris,Attitude,Attitude of support person,80,0,4517,26357,78.208,0,189.54,1,2,27,28,0
2865-TCHJW,1,None,Yes,Yes,No,No,Yes,Female,No,Anaheim,Competitor,Competitor had better devices,74,0,5808,36301,92.768,0,193.4,2,0,4,26,2
5192-EBGOV,1,None,Yes,Yes,No,No,No,Female,No,Brea,Competitor,Competitor had better devices,68,0,4880,1408,89.128,0,45.81,5,0,1,23,1
3419-SNJJD,1,Offer B,Yes,Yes,Yes,Yes,Yes,Female,Yes,Yorba Linda,Attitude,Attitude of support person,78,0,4196,20893,109.46,0,1195.35,5,3,65,31,0
4554-YGZIH,1,Offer B,Yes,Yes,No,Yes,Yes,Male,Yes,Summerland,Competitor,Competitor made better offer,75,0,5059,576,93.652,0,1123.08,5,3,49,15,0
5099-BAILX,1,Offer B,Yes,Yes,No,Yes,Yes,Male,Yes,Santa Barbara,Competitor,Competitor made better offer,77,0,2728,31727,115.18,0,624.36,1,1,43,6,1
4913-EHYUI,1,Offer B,Yes,Yes,Yes,Yes,No,Male,Yes,Alpaugh,Competitor,Competitor offered higher download speeds,80,0,6268,1054,108.732,753,2732.8,0,0,56,13,0
1626-ERCMM,1,None,Yes,Yes,No,Yes,No,Male,Yes,Camp Nelson,Competitor,Competitor had better devices,75,0,5604,191,98.332,209,106.2,2,7,20,11,3
5644-PDMZC,1,None,Yes,Yes,No,Yes,No,Female,No,Delano,Attitude,Attitude of support person,69,0,2065,37280,93.08,34,94.94,5,0,2,21,0
4160-AMJTL,1,None,Yes,No,No,No,No,Female,No,Fellows,Attitude,Attitude of support person,74,0,5432,626,19.65,0,223.6,6,0,8,0,0
0823-HSCDJ,1,None,No,Yes,No,Yes,Yes,Male,No,Temecula,Competitor,Competitor made better offer,76,0,5597,46171,51.116,0,0,1,0,52,20,1
0067-DKWBL,1,None,Yes,Yes,Yes,No,No,Male,No,San Diego,Competitor,Competitor made better offer,69,0,3475,47224,51.22,27,87.98,5,0,2,30,0
5244-IRFIH,1,None,Yes,Yes,No,Yes,No,Male,Yes,San Diego,Other,Poor expertise of online support,72,0,4333,47224,98.28,279,916.74,2,1,33,9,2
2684-EIWEO,1,None,Yes,Yes,Yes,No,No,Female,No,San Diego,Competitor,Competitor made better offer,69,0,2482,47224,95.368,579,1376.4,4,0,30,21,1
6683-VLCTZ,1,None,Yes,Yes,No,Yes,No,Male,No,San Diego,Competitor,Competitor made better offer,73,0,5444,47224,102.492,258,888.8,5,0,20,14,0
0691-IFBQW,1,None,Yes,Yes,Yes,Yes,No,Female,No,Biola,Competitor,Competitor made better offer,65,0,2403,807,114.4,1072,109.02,4,0,46,22,0
3643-AHCFP,1,None,Yes,Yes,No,Yes,No,Male,Yes,Selma,Competitor,Competitor made better offer,74,0,3265,26213,99.424,77,153.37,1,1,7,12,0
9231-ZJYAM,1,None,Yes,Yes,No,No,No,Female,No,Squaw Valley,Other,Moved,65,0,5301,3146,82.004,59,147.72,3,0,4,20,2
0727-BMPLR,1,None,Yes,Yes,No,Yes,No,Female,No,Fresno,Competitor,Competitor offered higher download speeds,66,0,5679,35790,104,441,2055.9,6,0,55,8,0
0947-MUGVO,1,None,Yes,Yes,No,No,Yes,Male,Yes,Jolon,Competitor,Competitor had better devices,71,0,5849,254,76.596,0,107.4,0,1,20,26,0
0781-LKXBR,1,None,Yes,Yes,No,Yes,No,Male,No,San Francisco,Competitor,Competitor had better devices,65,0,4038,28998,104.52,147,438.39,4,0,9,16,1
1907-UBQFC,1,None,Yes,Yes,No,No,No,Male,No,San Francisco,Competitor,Competitor had better devices,69,0,3189,13723,75.764,179,54.6,5,0,10,26,4
6513-EECDB,1,None,Yes,Yes,No,No,Yes,Male,Yes,San Francisco,Price,Price too high,75,0,4369,30587,76.492,0,36.92,2,0,1,7,0
7074-IEVOJ,1,None,Yes,Yes,No,No,No,Female,No,San Francisco,Dissatisfaction,Product dissatisfaction,75,0,3501,1458,82.576,25,125.7,5,0,3,12,1
4750-ZRXIU,1,None,Yes,Yes,No,Yes,Yes,Female,No,Palo Alto,Competitor,Competitor had better devices,68,0,2467,1723,87.984,6.84,26.72,6,0,4,19,1
7028-DVOIQ,1,None,Yes,Yes,No,Yes,Yes,Male,No,Birds Landing,Other,Don't know,71,0,2074,138,103.012,0,729.05,5,0,35,21,1
4208-UFFGW,1,Offer E,Yes,Yes,No,No,No,Male,No,Byron,Other,Don't know,80,0,5900,10153,46.748,10,53.24,5,0,2,12,2
9889-TMAHG,1,None,Yes,Yes,Yes,Yes,No,Male,No,Fremont,Competitor,Competitor had better devices,66,0,5084,46917,104.312,250,92.56,2,0,8,30,5
8919-FYFQZ,1,None,No,Yes,No,No,No,Male,Yes,Livermore,Competitor,Competitor had better devices,73,0,4829,75929,31.564,422,0,4,2,44,31,4
6646-QVXLR,1,None,Yes,Yes,No,Yes,No,Male,Yes,Napa,Competitor,Competitor had better devices,77,0,5052,63947,107.9,1149,440.82,1,1,62,18,2
9369-XFEHK,1,None,Yes,Yes,No,No,Yes,Female,Yes,Pleasanton,Competitor,Competitor offered more data,76,0,3601,36669,83.824,0,1095.27,2,1,33,16,0
1374-DMZUI,1,Offer E,Yes,Yes,No,Yes,No,Female,No,San Ramon,Competitor,Competitor made better offer,65,0,5419,44078,98.072,106,198,0,0,4,25,0
1989-PRJHP,1,None,Yes,Yes,No,No,No,Male,Yes,Pleasanton,Competitor,Competitor had better devices,75,0,2377,28568,78.52,473,286.2,1,1,27,25,3
4822-RVYBB,1,Offer E,Yes,Yes,No,Yes,Yes,Male,No,Berkeley,Attitude,Attitude of support person,75,0,5906,21205,104.624,0,323.6,4,0,8,32,0
4184-TJFAN,1,Offer E,Yes,Yes,Yes,No,No,Female,Yes,Berkeley,Attitude,Attitude of support person,68,0,4486,11889,91.832,5,77.31,2,1,3,2,0
4145-UQXUQ,1,Offer E,Yes,Yes,No,Yes,Yes,Female,No,Berkeley,Competitor,Competitor had better devices,71,0,5662,8157,95.784,0,343.44,0,0,8,10,0
1236-WFCDV,1,None,Yes,Yes,No,Yes,No,Male,No,Greenbrae,Competitor,Competitor offered more data,74,0,4777,12010,94.068,329,158.34,0,0,14,26,0
1271-SJBGZ,1,None,No,Yes,No,Yes,No,Male,No,Forest Knolls,Competitor,Competitor had better devices,77,0,2437,1025,45.396,58,0,2,0,12,11,4
4441-NIHPT,1,None,Yes,Yes,No,No,No,Female,No,Freedom,Competitor,Competitor had better devices,73,0,2995,4753,77.272,216,524.81,1,0,13,23,2
8999-BOHSE,1,None,Yes,Yes,No,Yes,No,Female,No,Gilroy,Attitude,Attitude of support person,68,0,2202,49968,93.288,314,43.56,4,0,11,30,0
7029-RPUAV,1,None,Yes,Yes,No,Yes,Yes,Male,Yes,Los Gatos,Competitor,Competitor offered more data,74,0,5508,13290,104.468,0,479.06,0,1,17,18,0
8111-SLLHI,1,None,Yes,Yes,No,Yes,No,Male,Yes,San Jose,Attitude,Attitude of support person,65,0,4687,32804,109.876,1243,1296.75,4,1,39,29,0
5293-WXJAK,1,None,Yes,Yes,No,Yes,No,Female,Yes,San Jose,Competitor,Competitor offered more data,73,0,4553,15798,108.212,340,189.75,1,5,11,30,0
4086-YQSNZ,1,Offer E,Yes,Yes,No,No,Yes,Female,Yes,Glencoe,Attitude,Attitude of service provider,74,0,3834,21,83.616,0,9.87,0,1,3,10,0
8399-YNDCH,1,None,Yes,Yes,No,No,No,Male,No,Columbia,Competitor,Competitor had better devices,80,0,4716,2144,62.452,185,727.02,1,0,21,15,1
5565-FILXA,1,None,Yes,Yes,No,Yes,No,Female,No,Escondido,Other,Don't know,76,0,5913,48690,99.996,275,620,5,0,16,18,0
4187-CINZD,1,None,Yes,Yes,No,Yes,No,Female,No,Lakewood,Competitor,Competitor had better devices,73,0,3180,30173,99.06,1460,281.98,1,0,46,33,1
6818-WOBHJ,1,Offer A,Yes,Yes,No,Yes,Yes,Female,Yes,Fulton,Competitor,Competitor had better devices,70,0,5651,476,93.184,0,1640.84,0,1,68,26,0
9134-CEQMF,1,Offer E,Yes,Yes,No,Yes,No,Male,Yes,Nice,Dissatisfaction,Network reliability,75,0,3077,2223,93.08,203,95.41,2,1,7,30,2
8519-IMDHU,1,None,Yes,Yes,No,Yes,No,Male,Yes,Alderpoint,Competitor,Competitor had better devices,74,0,4981,261,89.024,323,678.75,3,1,15,24,5
3372-KWFBM,1,None,Yes,Yes,No,No,Yes,Male,No,Bayside,Dissatisfaction,Network reliability,76,0,2508,1689,90.064,0,306.88,2,0,16,24,2
7206-GZCDC,1,Offer E,Yes,Yes,No,No,No,Female,No,Loleta,Attitude,Attitude of support person,75,0,4371,1447,72.02,0,29.68,3,0,1,20,1
1768-ZAIFU,1,None,No,Yes,No,No,No,Female,No,Rio Dell,Competitor,Competitor made better offer,74,0,5688,3284,26.208,0,0,2,0,1,6,1
3793-MMFUH,1,None,Yes,Yes,No,Yes,No,Female,No,Davis,Competitor,Competitor made better offer,73,0,2230,648,98.852,335,247.39,3,0,13,26,0
6567-HOOPW,1,None,Yes,Yes,No,No,No,Female,No,Folsom,Competitor,Competitor made better offer,69,0,4363,51855,82.368,0,20.06,2,0,1,26,0
8621-MNIHH,1,None,Yes,Yes,No,Yes,Yes,Female,Yes,Madison,Competitor,Competitor had better devices,75,0,3369,844,98.02,0,97.92,2,1,34,4,2
5419-CONWX,1,None,Yes,Yes,No,Yes,No,Female,No,Pleasant Grove,Competitor,Competitor had better devices,65,0,2268,901,103.792,49,50.72,4,0,4,11,1
7024-OHCCK,1,None,Yes,Yes,No,Yes,Yes,Female,No,Sheridan,Other,Poor expertise of online support,77,0,4193,1219,97.604,3.42,38.54,4,0,2,20,0
5357-TZHPP,1,None,Yes,Yes,No,Yes,No,Male,No,Wheatland,Attitude,Attitude of support person,67,0,5745,3600,87.776,146,277.2,8,0,9,20,0
0506-LVNGN,1,None,Yes,Yes,No,No,No,Female,No,Rancho Cordova,Competitor,Competitor had better devices,78,0,4028,299,78.572,35,211.65,5,0,5,10,4
9809-IMGCQ,1,Offer D,Yes,Yes,No,Yes,No,Male,No,Canyon Dam,Competitor,Competitor made better offer,65,0,4458,86,100.568,187,883.96,1,0,22,9,0
3254-YRILK,1,Offer D,Yes,Yes,No,No,No,Male,No,Dobbins,Competitor,Competitor had better devices,74,0,5683,614,91.728,178,759.43,2,0,19,10,2
0529-ONKER,1,Offer D,Yes,Yes,No,No,Yes,Male,No,Forest Ranch,Attitude,Attitude of support person,70,0,2099,1351,78.676,0,695.7,1,0,15,21,1
5240-IJOQT,1,None,Yes,Yes,No,No,Yes,Male,No,Grass Valley,Competitor,Competitor had better devices,69,0,3348,17922,77.688,0,11.34,3,0,1,22,4
0661-XEYAN,1,None,No,Yes,No,No,Yes,Female,No,Nevada City,Competitor,Competitor had better devices,76,0,3884,17269,26.832,0,0,2,0,1,29,1
2660-EMUBI,1,Offer D,Yes,Yes,No,Yes,No,Male,No,Escondido,Competitor,Competitor made better offer,71,0,5353,48690,99.164,135,413.7,1,0,10,15,0
7675-OZCZG,1,None,Yes,Yes,No,No,No,Female,No,Fallbrook,Competitor,Competitor made better offer,76,0,4145,42239,46.8,9,90.42,3,0,3,7,0
9391-EOYLI,1,Offer D,Yes,Yes,No,Yes,No,Male,Yes,Lewiston,Competitor,Competitor made better offer,77,0,5374,1845,83.668,200,83.64,1,1,12,21,0
2761-OCIAX,1,None,Yes,Yes,No,No,Yes,Male,No,Palo Cedro,Competitor,Competitor made better offer,74,0,2803,4931,77.688,0,13.02,1,0,2,12,1
3068-OMWZA,1,None,Yes,Yes,No,No,No,Male,No,Round Mountain,Competitor,Competitor made better offer,77,0,3106,459,92.352,0,49.6,1,0,1,22,0
4154-AQUGT,1,Offer D,Yes,Yes,No,Yes,No,Male,Yes,San Diego,Competitor,Competitor made better offer,76,0,3861,28201,92.612,70,19.11,1,1,13,6,0
8017-LXHFA,1,Offer D,Yes,Yes,No,Yes,No,Female,No,San Diego,Competitor,Competitor made better offer,77,0,2740,28201,98.54,573,716.91,4,0,23,25,1
4248-QPAVC,1,Offer D,Yes,Yes,Yes,No,No,Female,Yes,San Diego,Competitor,Competitor made better offer,80,0,3209,28201,88.764,102,625.94,1,1,17,7,0
4690-LLKUA,1,None,Yes,Yes,No,No,Yes,Male,No,San Diego,Competitor,Competitor made better offer,68,0,3797,28201,46.852,0,695.81,0,0,17,2,0
9490-DFPMD,1,None,Yes,Yes,No,No,No,Female,No,San Diego,Competitor,Competitor made better offer,79,0,4871,28201,88.036,673,400.26,3,0,42,19,0
8580-AECUZ,1,None,Yes,Yes,No,No,Yes,Male,No,San Diego,Competitor,Competitor made better offer,65,0,5001,28201,82.264,0,42.3,2,0,1,18,1
5047-LHVLY,1,Offer E,Yes,Yes,No,No,No,Male,No,San Diego,Competitor,Competitor made better offer,68,0,3438,4258,52.156,0,39.78,2,0,1,13,0
8375-DKEBR,1,Offer E,Yes,Yes,No,No,Yes,Female,No,Hermosa Beach,Competitor,Competitor had better devices,72,0,3438,18693,72.384,0,34.51,1,0,1,16,4
7279-BUYWN,1,None,Yes,Yes,Yes,Yes,No,Female,No,Buena Park,Attitude,Attitude of support person,66,0,3380,44442,117.728,1172,1145.95,2,0,41,25,0
7156-MHUGY,1,None,Yes,Yes,No,Yes,No,Male,No,Buena Park,Competitor,Competitor had better devices,68,0,5394,33528,94.12,48,339.43,1,0,13,4,3
9606-PBKBQ,1,None,Yes,Yes,No,Yes,No,Male,Yes,Long Beach,Attitude,Attitude of support person,69,0,4584,63136,88.4,661,191.68,3,1,32,25,2
3536-IQCTX,1,None,Yes,Yes,No,Yes,No,Male,Yes,South Pasadena,Competitor,Competitor had better devices,76,0,2712,23984,88.712,293,1587.2,5,1,32,11,2
3132-TVFDZ,1,None,No,Yes,No,Yes,No,Male,Yes,Glendale,Attitude,Attitude of support person,70,0,5172,21990,46.644,77,0,7,1,57,3,0
8080-DDEMJ,1,Offer E,Yes,Yes,No,No,No,Male,No,Glendale,Attitude,Attitude of support person,71,0,4499,17015,46.904,0,15.28,9,0,1,15,1
6702-OHFWR,1,Offer E,No,Yes,No,Yes,Yes,Male,No,Reseda,Other,Poor expertise of online support,75,0,4972,68018,45.032,0,0,1,0,1,29,0
4510-PYUSH,1,None,Yes,Yes,Yes,No,Yes,Female,No,Sylmar,Attitude,Attitude of support person,67,0,3110,81986,59.436,67.52,991.8,3,0,38,30,1
8840-DQLGN,1,None,Yes,Yes,Yes,No,No,Female,Yes,Burbank,Attitude,Attitude of support person,65,0,4745,11517,104.52,877,559.3,6,1,35,24,2
4193-ORFCL,1,Offer E,Yes,Yes,No,No,Yes,Female,No,North Hollywood,Competitor,Competitor had better devices,80,0,2740,45358,46.904,0,15.24,5,0,1,15,2
7776-QWNFX,1,None,Yes,Yes,No,No,No,Male,Yes,Chino,Attitude,Attitude of support person,71,0,4795,75319,52.416,489,139.5,1,1,30,32,0
6689-TCZHQ,1,Offer E,Yes,Yes,No,Yes,No,Female,No,Claremont,Attitude,Attitude of support person,70,0,4054,34716,82.108,83,61.35,5,0,5,22,0
9497-QCMMS,1,Offer E,Yes,Yes,No,Yes,No,Male,No,San Diego,Competitor,Competitor made better offer,73,0,5536,51213,97.292,0,30.17,4,0,1,7,1
3424-NMNBO,1,None,Yes,Yes,Yes,Yes,No,Male,Yes,San Diego,Competitor,Competitor made better offer,78,0,4739,51213,113.204,1320,2864.04,0,1,58,21,0
4514-GFCFI,1,None,Yes,Yes,No,No,No,Female,No,San Diego,Attitude,Attitude of support person,76,0,5136,51213,88.14,108,280.16,8,0,16,8,2
8000-REIQB,1,Offer E,Yes,Yes,No,No,No,Female,No,San Diego,Competitor,Competitor made better offer,73,0,3208,51213,72.748,0,22.5,2,0,1,30,0
4795-KTRTH,1,Offer E,Yes,Yes,No,No,Yes,Female,Yes,San Diego,Competitor,Competitor made better offer,68,0,4287,34902,84.24,0,236.4,4,1,5,12,1
9961-JBNMK,1,None,Yes,Yes,No,Yes,No,Male,No,Desert Center,Dissatisfaction,Product dissatisfaction,79,0,4317,964,100.672,162,887.67,1,0,21,8,1
6179-GJPSO,1,None,Yes,Yes,Yes,Yes,No,Female,No,Escondido,Competitor,Competitor made better offer,67,0,2833,48690,112.476,506,1368.69,2,0,43,11,0
8290-YWKHZ,1,None,Yes,Yes,No,Yes,No,Female,Yes,Fallbrook,Competitor,Competitor made better offer,69,0,5247,42239,96.928,205,1079.68,5,1,32,7,0
8051-HJRLT,1,Offer E,Yes,Yes,No,No,No,Female,No,Wrightwood,Attitude,Attitude of service provider,72,0,2146,4253,73.372,0,18.2,4,0,1,14,0
4021-RQSNY,1,None,Yes,Yes,No,Yes,No,Male,Yes,Moreno Valley,Attitude,Attitude of service provider,75,0,5137,12743,102.44,931,747.62,4,1,29,31,0
9061-TIHDA,1,None,Yes,Yes,No,Yes,No,Male,Yes,Murrieta,Competitor,Competitor had better devices,67,0,2982,18311,99.06,86,412.1,3,1,13,7,2
8699-ASUFO,1,None,Yes,Yes,No,No,Yes,Male,Yes,Nuevo,Attitude,Attitude of service provider,72,0,4969,7344,77.376,0,62.44,5,1,7,19,0
4695-WJZUE,1,None,Yes,Yes,No,Yes,No,Female,No,Irvine,Competitor,Competitor had better devices,68,0,3685,17621,92.092,56,43.14,3,0,2,31,6
3988-RQIXO,1,None,Yes,Yes,No,Yes,No,Female,No,Corona Del Mar,Attitude,Attitude of service provider,68,0,2371,13422,94.952,0,43.61,0,0,1,2,0
5931-FLJJF,1,None,Yes,Yes,No,No,Yes,Male,Yes,Midway City,Attitude,Attitude of service provider,75,0,3669,8660,72.904,0,112.35,2,1,7,24,0
3207-OYBWH,1,None,Yes,Yes,No,Yes,No,Male,Yes,Newport Beach,Attitude,Attitude of support person,74,0,6259,4242,99.06,1248,2844.87,5,1,57,23,0
7216-EWTRS,1,None,Yes,Yes,No,Yes,No,Female,Yes,Newport Beach,Attitude,Attitude of service provider,78,0,3128,22133,104.832,0,17.35,2,4,1,25,1
2528-HFYZX,1,None,Yes,Yes,No,No,No,Male,Yes,Santa Ana,Competitor,Competitor had better devices,66,0,3266,37879,79.508,111,17.85,5,2,17,9,3
4140-MUHUG,1,None,Yes,Yes,No,No,Yes,Female,No,Oak View,Attitude,Attitude of service provider,73,0,3561,6503,90.324,0,55.14,2,0,3,22,1
1587-FKLZB,1,Offer A,Yes,Yes,No,Yes,No,Male,Yes,Santa Barbara,Competitor,Competitor had better devices,79,0,4479,31727,103.48,1910,1904.76,0,1,66,28,0
5440-FLBQG,1,Offer A,Yes,Yes,No,Yes,No,Male,Yes,Santa Barbara,Attitude,Attitude of service provider,69,0,4708,15757,112.736,293,3372.72,1,1,69,4,0
2774-LVQUS,1,None,Yes,Yes,No,No,No,Female,Yes,Temecula,Competitor,Competitor made better offer,65,0,2596,46171,86.372,38,661.95,4,2,15,3,0
4612-THJBS,1,None,Yes,Yes,No,Yes,Yes,Female,No,Terra Bella,Attitude,Attitude of service provider,68,0,5605,5868,108.94,0,1936.48,2,0,56,4,0
4094-NSEDU,1,None,Yes,Yes,No,Yes,No,Female,No,Temecula,Competitor,Competitor made better offer,79,0,4819,46171,98.02,197,444.15,0,0,21,10,0
1846-XWOQN,1,None,Yes,Yes,No,No,Yes,Female,No,Bradley,Competitor,Competitor made better offer,80,0,2825,1363,72.956,0,47.97,1,0,1,9,0
3757-NJYBX,1,None,Yes,Yes,No,Yes,No,Male,Yes,Nipomo,Other,Moved,77,0,4113,15405,110.604,106,253.44,3,3,32,3,1
9898-KZQDZ,1,None,Yes,Yes,No,Yes,Yes,Female,Yes,Lee Vining,Competitor,Competitor had better devices,65,0,5676,504,98.332,0,1980,3,1,40,22,2
8263-JQAIK,1,None,No,Yes,No,No,No,Male,No,Palmdale,Competitor,Competitor offered more data,66,0,5573,6787,25.428,3,0,3,0,2,7,0
2205-YMZZJ,1,None,Yes,Yes,No,No,Yes,Male,No,Clovis,Competitor,Competitor made better offer,75,0,2015,33856,88.192,0,276.57,6,0,7,14,0
1254-IZEYF,1,None,Yes,Yes,No,Yes,Yes,Female,No,Cutler,Competitor,Competitor made better offer,74,0,5362,5519,103.948,12.75,1220.16,4,0,31,4,0
9221-OTIVJ,1,None,Yes,Yes,No,Yes,No,Female,No,Dunlap,Dissatisfaction,Product dissatisfaction,80,0,2292,506,109.044,123,419.44,1,0,14,8,4
5908-QMGOE,1,None,Yes,Yes,No,No,Yes,Male,No,Fowler,Competitor,Competitor had better devices,74,0,4553,5635,77.168,0,352.95,4,0,15,10,2
0397-GZBBC,1,None,Yes,Yes,No,Yes,No,Male,Yes,South Dos Palos,Price,Price too high,70,0,5390,343,97.604,892,636.02,3,0,59,16,1
7641-EUYET,1,None,Yes,Yes,Yes,No,Yes,Male,Yes,Tranquillity,Dissatisfaction,Product dissatisfaction,76,0,5712,1130,104.728,86.28,2259.06,3,3,46,19,2
8922-LIEGH,1,None,Yes,Yes,No,Yes,Yes,Female,No,Jolon,Dissatisfaction,Poor expertise of online support,72,0,4078,254,93.288,0,909,1,0,25,7,0
