age,family,number,expense
49,2,2,1.7
26,1,1,1.67
57,2,2,3.75
24,3,2,2.31
58,2,4,4
33,2,3,3.86
55,5,1,1.8
57,2,3,4.23
49,3,3,4.69
27,2,1,3.42
23,1,2,3.32
24,1,1,1.4
49,1,1,1.89
20,2,1,1.89
34,1,1,3.31
29,1,2,3.58
43,4,2,2.04
50,2,2,3.6
31,4,1,1.16
32,1,3,3.69
31,1,1,1.16
49,1,1,2.31
44,2,2,3.05
30,2,2,2.61
20,2,2,4.71
39,1,3,5.01
24,1,1,2.49
45,2,3,3.47
55,2,3,1.78
23,1,1,4.27
21,1,2,4.01
20,1,1,4.66
24,1,2,3.54
22,1,1,4.78
22,2,3,2.62
25,1,2,3.69
27,1,2,2.46
29,2,2,1.22
56,1,2,1.55
53,2,2,4.25
41,1,3,1.35
45,2,2,3.45
25,1,3,4.25
27,1,2,2.6
48,4,2,4.05
48,1,2,1.39
34,2,2,4.17
45,2,2,1.73
45,2,3,3.71
58,5,1,5.27
40,2,2,4.62
45,5,1,1.77
36,3,2,2.73
30,2,2,5.06
54,5,2,1.75
45,2,2,1.21
40,4,1,2.4
59,2,3,3.78
44,3,2,1.73
48,4,2,1.33
43,3,2,1.27
59,2,2,1.55
23,1,2,4.28
20,1,1,4.48
35,3,3,1.54
32,5,1,1.24
44,5,1,1.31
43,3,1,2.85
43,5,2,1.16
55,2,2,2.92
34,2,2,1.14
37,2,3,5.07
50,5,1,2.06
40,2,3,4.29
46,3,2,1.13
34,2,3,5.2
44,2,2,3.79
41,3,3,4.56
41,2,3,4.95
48,3,3,4.94
27,1,2,4.04
36,1,2,4.92
41,2,2,5.15
46,1,1,3.53
45,1,3,5.28
49,2,3,5.22
45,2,3,4.44
47,1,2,3.37
56,3,2,1.46
46,2,3,1.67
45,1,3,3.7
22,2,1,3.37
57,3,3,3.72
41,1,2,4.88
57,1,2,3.59
48,1,3,4.5
45,1,2,5.19
51,2,2,3.63
42,2,1,3.44
46,3,2,3.43
40,2,3,5.28
27,1,2,4.17
30,2,2,3.67
45,2,2,5.28
44,2,1,3.43
46,1,4,4.55
42,2,3,5.07
44,2,3,5.03
43,1,2,4.09
58,3,2,2.58
42,4,3,1.89
47,1,3,3.68
24,2,1,3.18
57,3,5,3.37
42,1,2,4.81
57,2,2,3.77
46,3,3,4.16
45,1,2,4.68
50,2,2,3.88
45,2,1,5.07
41,2,2,1.15
29,1,1,2.07
53,2,2,3.97
22,3,2,2.89
56,2,4,4.21
31,2,3,3.96
56,5,1,1.81
52,2,3,4.05
42,3,3,4.46
20,2,1,3.6
28,1,2,3.7
29,1,1,1.9
45,1,1,1.83
21,2,1,1.83
36,1,1,3.71
23,1,2,3.45
44,4,2,1.76
51,2,2,3.42
39,4,1,1.38
36,1,3,3.42
37,1,1,1.44
42,1,1,3.12
40,2,2,2.63
35,2,2,2.37
28,2,2,4.5
37,1,3,5
28,1,1,2.94
40,2,3,4.29
50,2,3,1.16
27,1,1,3.4
24,1,2,4.02
26,1,1,4.78
29,1,2,3.76
29,1,1,5.2
24,2,3,2.32
24,1,2,4.14
36,3,3,1.31
31,5,1,1.31
47,5,1,1.17
46,3,1,3.17
42,5,2,2.04
57,2,2,2.41
36,2,2,1.82
31,2,3,5.2
54,5,1,2
48,2,2,5.09
47,2,1,4.09
46,1,4,4.75
49,2,3,5.17
48,2,3,5.26
42,1,2,4.21
59,3,2,2.91
43,4,3,1.6
43,1,3,3.42
29,2,1,2.44
