老矫,夸老 备盒,乞闭扁柯,弥历扁柯,弥绊扁柯,老碍荐樊,弥措 浅加,乞闭 浅加,弥家 惑措嚼档,乞闭 惑措嚼档,乞闭 泅瘤扁拘,钦拌 老炼矫埃,钦拌 老荤樊
2020-01-01,绒老,-2.2,-6.5,0.3,0.1,2.6,0.6,37,64.4,1021.1,0.8,4.53
2020-01-02,乞老,1,-0.7,3.8,,4,1.2,54,65.4,1018.7,0,3.47
2020-01-03,乞老,-0.1,-3.4,4.6,,3.5,1.7,26,56.9,1016.4,8.8,10.1
2020-01-04,绒老,1.2,-2.8,6.1,,4.5,1.9,32,50.8,1015.4,7.9,9.29
2020-01-05,绒老,1.3,-3.2,6.6,,2.9,1.1,28,45.6,1019.7,7.1,9.1
2020-01-06,乞老,3.1,0.6,4.6,1.8,5.4,3.1,39,65.4,1015.3,0,2.03
2020-01-07,乞老,6.3,4.2,7.7,46.3,6.3,4,93,95,999.3,0,0.75
2020-01-08,乞老,2.4,-0.4,8.9,11.6,6.3,3.3,73,86.1,1003.6,0,1.84
2020-01-09,乞老,-1.2,-3.1,2,,4.3,2.3,47,65.3,1013.4,8.7,9.14
2020-01-10,乞老,-0.6,-4.3,4.2,,3.7,1.5,36,62.9,1013,7.5,9.39
2020-01-11,绒老,-0.1,-2.6,3.9,,4.8,1.9,35,60.9,1009.4,8.1,10.13
2020-01-12,绒老,-1,-3.5,2.8,,4.1,2.4,38,61.5,1007.5,8.6,10.33
2020-01-13,乞老,-2.9,-4.7,0.2,,4.9,2.3,28,51,1012.4,8.1,11.15
2020-01-14,乞老,-2.3,-5.7,2.6,,3.3,1.6,20,45.3,1015,8.5,10.06
2020-01-15,乞老,-2.7,-6.4,2.2,,4.5,1.9,24,44.8,1017.6,9.2,11.6
2020-01-16,乞老,-1.7,-5.5,3.2,,4.4,1.6,24,43,1016.3,8.3,10.75
2020-01-17,乞老,-0.6,-4.8,4.9,,3.8,1.5,27,43.9,1012.6,7.6,9.85
2020-01-18,绒老,0.3,-4.1,5.9,,4.2,1.8,17,48.1,1010.9,9.1,11.38
2020-01-19,绒老,1.9,-0.4,5.3,0.6,6.1,2.2,42,62.8,1008,4.8,6.08
2020-01-20,乞老,0.7,-3.3,5.5,,5.7,2.5,24,46.8,1012.2,8.7,10.24
2020-01-21,乞老,-0.4,-5.6,5.5,,3.5,1.4,19,36.9,1018.8,9.2,11.55
2020-01-22,乞老,3,-0.1,7.8,,3.2,1.7,22,36,1014.6,3.7,6.8
2020-01-23,乞老,4.6,0,9.9,,4.7,2,32,49.3,1013.5,8.8,10.73
2020-01-24,绒老,2.8,-1.3,7.4,,3.7,1.7,43,63,1019.5,8.8,10.53
2020-01-25,绒老,4.3,0.6,8.8,,3.9,1.5,49,63.1,1018.7,3.6,7.86
2020-01-26,绒老,5.5,-0.2,11.9,,6.1,2.7,31,56.3,1016.5,7.3,11.21
2020-01-27,绒老,5.9,4.8,7.5,0.1,7,4.6,35,48.1,1010.4,0,2.76
2020-01-28,乞老,6.8,4.3,9.9,0,5.4,2.6,37,49.4,1007.7,0,3.98
2020-01-29,乞老,6,3.2,9.6,,3.6,2.1,35,46.4,1005.3,3.1,7.3
2020-01-30,乞老,5.2,1.4,10.4,,3,1.8,30,47,1004.4,5.5,9.24
2020-01-31,乞老,3.9,1.4,8.9,0,4.4,2.3,41,59.6,1009,6.1,9.41
2020-02-01,绒老,2.6,-1.2,7.6,,4.7,1.7,43,66.6,1013.4,5.3,7.17
2020-02-02,绒老,1.5,-2.1,5.3,,4.7,1.8,24,52.3,1014.7,4.8,8.39
2020-02-03,乞老,-0.4,-2.9,3,0,5.7,3.1,23,43.6,1016.3,9.6,13.56
2020-02-04,乞老,-1.6,-6,3.9,1.7,6.2,2.8,32,50.3,1015.8,6.4,10.01
2020-02-05,乞老,-8.3,-11,-4.9,,5.5,3.3,27,37.3,1021,9.7,14.82
2020-02-06,乞老,-6.4,-11.8,0.4,,4,1.9,19,36.4,1023,9.7,13.97
2020-02-07,乞老,-1.7,-7.2,2.2,0,3.5,2,14,45.1,1018.5,6.1,10.14
2020-02-08,绒老,-0.1,-2.3,3.7,0,5.3,3,29,48.1,1016.7,9.6,13.89
2020-02-09,绒老,-0.5,-5.6,4.1,0,4.4,2,24,51.1,1014.6,9.6,14.33
2020-02-10,乞老,4,-0.7,9.6,0,4.2,1.7,25,49.4,1013.4,9.7,14.22
2020-02-11,乞老,6.8,-0.5,14.6,,3.6,1.6,17,37,1016.3,7.6,10.91
2020-02-12,乞老,7.4,6.5,8.2,6.7,5,2.2,31,73.4,1006.4,0,2.86
2020-02-13,乞老,6.5,4.9,8.7,,3.2,1.7,69,84.8,1008.8,1.3,6.43
2020-02-14,乞老,8.1,3.2,14.7,,3,1.2,41,70.3,1010.4,8.7,13.13
2020-02-15,绒老,9.8,6.2,15.6,2,5,2.7,37,63,1007.3,5,8.77
2020-02-16,绒老,-1.4,-4.3,7.7,13.4,6.6,4,59,81.1,1002.6,1.6,4.14
2020-02-17,乞老,-5.9,-7.1,-3.9,1,5.6,3.4,52,64.3,1007.4,3.2,7.08
2020-02-18,乞老,-4.1,-8.3,1.3,,4.1,2.3,27,44,1016.7,10.1,16.78
2020-02-19,乞老,1,-4.4,6.4,,3.2,1.5,35,56.8,1019.3,7.4,12.13
2020-02-20,乞老,4.6,-0.6,10.8,,3.3,1.7,35,62.6,1022.6,9.4,13.71
2020-02-21,乞老,6.7,2.1,10.9,4.2,5.3,2.2,40,66.3,1018.5,1.1,6.5
2020-02-22,绒老,4,0,7.9,3.1,8.2,4,40,62,1014.2,5.9,9.06
2020-02-23,绒老,2.5,-2.5,8,,4.2,2,25,48.6,1018.2,10.2,17.37
2020-02-24,乞老,7,0.8,12.2,,3.4,1.6,35,51.8,1013.6,7.7,13.21
2020-02-25,乞老,6.7,4.7,9.4,16.6,6.8,4.2,58,73.5,1007.4,0.6,4.11
2020-02-26,乞老,6.4,2.8,10.4,0,4,2.1,39,59.6,1012.7,4.8,10.45
2020-02-27,乞老,6.1,1.3,12.5,,4.4,2,27,54,1017,10.4,16.77
2020-02-28,乞老,4.5,3.6,5.9,3.9,4.2,1.4,43,79.4,1011.9,0,2.41
2020-02-29,绒老,7.7,4.5,13,0.5,4.2,1.7,41,68.6,1007.7,9.5,17.12
2020-03-01,绒老,5.8,3.2,10.1,0.2,4.7,2,58,71.8,1007.9,0.2,5.4
2020-03-02,乞老,3.4,0,7.6,0,4.9,2.7,33,55.3,1013.1,10,17.08
2020-03-03,乞老,4.8,0.3,10.5,,4.7,2.6,35,57,1013.3,4.1,10.62
2020-03-04,乞老,2.2,-1.3,4.6,0,6.8,3.7,32,53.4,1011.4,6.6,10.41
2020-03-05,乞老,1.4,-2.8,6.3,,4.1,2.5,25,47.5,1014.5,10.9,19.25
2020-03-06,乞老,3.7,-2.5,10.1,,3.6,1.6,16,46.8,1011.7,10.6,16.82
2020-03-07,绒老,7,1.3,14.2,,4.1,2,18,39.5,1007.5,5.9,13
2020-03-08,绒老,9.3,2.3,16.9,,4.6,1.6,20,43.8,1008,10.7,18.27
2020-03-09,乞老,11.1,4.8,17.6,,4.5,1.8,20,37.6,1003.6,7.1,14.19
2020-03-10,乞老,6.4,3.2,10.8,11.8,5.3,2.8,40,78.4,997.6,0,2.72
2020-03-11,乞老,3.8,0,8.3,,5.5,3.3,24,41.8,1007.7,11.2,20.72
2020-03-12,乞老,6.8,0.2,13.3,,5.4,2.5,19,49.8,1010.9,8.1,14.32
2020-03-13,乞老,4.9,-0.1,8.7,0.5,5.4,3.3,18,41,1011.3,9.7,17.82
2020-03-14,绒老,3.6,-2.7,8.6,,6.8,3,25,48.1,1005,10,18.6
2020-03-15,绒老,4,0.2,8.5,,7.8,3.6,19,48.3,1001.4,8.5,17.29
2020-03-16,乞老,3.6,-2.1,9.1,,5.2,2.8,17,42.4,1011.4,11.3,21.18
2020-03-17,乞老,6.6,3.1,12.3,,5.2,2.1,50,65.8,1005,4.2,6.89
2020-03-18,乞老,10,2.7,17,,4.4,1.8,16,45.8,1002.6,11.1,20.66
2020-03-19,乞老,9.1,5.8,12.1,0,8.2,4.8,27,49,995.6,7.7,15.51
2020-03-20,乞老,8.8,3.1,14,,6.6,3.1,15,39.6,1003.3,11,20.58
2020-03-21,绒老,12.8,7.9,19.5,,5.1,2,36,56.5,1001.3,6.1,14.83
2020-03-22,绒老,11,6.1,16.5,,5.6,3,13,37.5,1004,11.6,22.54
2020-03-23,乞老,10.6,5.4,17,,4.8,1.9,20,37.9,1006.7,11.5,20.72
2020-03-24,乞老,11.4,5.3,17.9,,4,1.8,15,35,1009.8,11.5,21.06
2020-03-25,乞老,12.5,6.1,19.2,,5.3,1.9,17,33.6,1009.7,9.2,19.29
2020-03-26,乞老,14.8,8.1,20.6,1.8,5.3,1.9,24,53.8,1004.9,4.3,11.97
2020-03-27,乞老,11.9,6.7,15.8,2,5.8,3.3,27,56.4,1003.2,7.4,17.04
2020-03-28,绒老,7.7,4.5,12.8,,5.5,3.2,11,17.9,1010.8,9.1,19.87
2020-03-29,绒老,8.7,1.3,16.1,,4.6,2,16,30.6,1010.9,11.6,23.12
2020-03-30,乞老,10.2,4.3,16.9,,4.1,1.8,14,38.4,1010.1,11.7,22.73
2020-03-31,乞老,11.9,4.7,18.6,,4.4,2,15,34.5,1007,10,20.68
2020-04-01,乞老,11.3,6,17.4,,7.3,3.7,17,35.6,1004.5,8.6,19.12
2020-04-02,乞老,9.3,3.4,15.5,,5.5,2.3,15,41.4,1011.6,10.6,21.25
2020-04-03,乞老,10,5.3,16.3,,5.7,2.7,23,53.8,1010.5,10.7,22.56
2020-04-04,绒老,8.9,5,13.3,,6.3,3.4,10,36.4,1008.6,10.4,23.33
2020-04-05,绒老,7.2,1.9,13.7,,5.4,2.8,13,29.5,1011.8,12.1,24.58
2020-04-06,乞老,9.3,2.9,16.1,,5.9,2.4,18,38.3,1010,11.4,22.51
2020-04-07,乞老,10.6,6,16.8,,5.1,2.5,32,56.6,1005.3,9,19.3
2020-04-08,乞老,9.4,5.2,14.2,,5.9,3.5,13,25.5,1007.8,12.3,24.86
2020-04-09,乞老,8.9,4.3,14.7,,5.7,2.8,30,44.6,1011.5,11.8,24.79
2020-04-10,乞老,10.7,5.8,16.8,,4.1,2.4,32,52.6,1014,9.2,21.07
2020-04-11,绒老,9.9,6.2,16,,4.9,2.5,39,63.8,1009.1,8.8,19.4
2020-04-12,绒老,9.9,4.4,15.6,,7.4,3.8,39,58.6,1004.4,8.3,19.25
2020-04-13,乞老,12.4,4.3,20.4,,5.5,3.1,16,39.4,1003.9,12.2,26.02
2020-04-14,乞老,13,7.6,19.6,,5.3,2.4,23,46.8,1006.3,12.1,25.93
2020-04-15,绒老,13.2,7.2,20.2,,5.6,2.2,25,39.8,1004.6,10,21.49
2020-04-16,乞老,16,8.9,23.8,,4.5,2.3,23,39.9,1006.1,10.6,22.96
2020-04-17,乞老,12.5,10.4,15.4,6.5,4.8,2.4,45,77.8,1002.2,0.3,4.23
2020-04-18,绒老,13.5,8.5,19.6,,4.8,2.6,44,67.9,1005.9,10.4,23.09
2020-04-19,绒老,12.3,9.5,15.5,10.3,5.2,2.7,51,75.8,1004.1,0.3,5.25
2020-04-20,乞老,10,7.6,13.1,0.1,6.8,3.3,56,73,1000.6,1.3,7.34
2020-04-21,乞老,7.4,4.8,10.4,,8.9,4.4,29,49,1003.8,10.1,23.63
2020-04-22,乞老,6,4.1,8.3,0,6.4,4,35,46.8,1005.9,5.3,15.89
2020-04-23,乞老,7.9,2.9,12.8,,7.9,3.7,28,47.8,1005.6,11.8,25.72
2020-04-24,乞老,9.9,4.1,14.3,,8.2,3.9,29,55.6,1003.1,12,26.61
2020-04-25,绒老,13.1,9.9,17.1,,7.8,3.9,45,54.4,999.3,8.5,18.9
2020-04-26,绒老,12.3,6.8,19,,6.5,3.2,20,43.1,1006.9,12.5,28.36
2020-04-27,乞老,12.9,8.7,18.3,,5.5,2.8,25,49.8,1009.3,9.7,22.98
2020-04-28,乞老,13.9,7.8,19.9,,5.5,3,26,50,1009.4,12.6,26.97
2020-04-29,乞老,14.9,9.3,21,,5.2,2.6,25,48.6,1009,12.2,26.1
2020-04-30,绒老,17.1,9.3,23.4,,5.9,2.7,41,57.1,1005.7,8.2,24.03
2020-05-01,乞老,20.2,16.4,26.2,,5.5,2.7,54,73.6,1003,6.1,18.96
2020-05-02,绒老,20.3,18,23.9,0,4.6,2.3,62,79.6,1001.3,0.2,9.43
2020-05-03,绒老,21.8,17,27.4,0,3.9,2,46,68.8,996,5.9,19.41
2020-05-04,乞老,20.2,14.8,25.3,,4.6,2.7,44,63.9,998.1,10.1,25.42
2020-05-05,绒老,16,13.1,19.3,,5.3,1.9,54,67.9,1001.5,3.3,9.41
2020-05-06,乞老,19.4,11.1,27.6,,4.4,2.1,19,50,1003.7,12.8,28.51
2020-05-07,乞老,20.7,14.9,26.5,,4.3,2.5,20,32.5,1007.1,8.7,23.93
2020-05-08,乞老,19.9,14.3,27.3,2.3,4.5,2.4,11,32.8,1004.4,7.5,23.26
2020-05-09,绒老,14.2,12.7,16.8,24.4,5.9,3.6,76,94.4,994.8,0,3
2020-05-10,绒老,14.4,12.8,16.6,1.3,4.1,2.5,78,88.6,997,0.4,6.77
2020-05-11,乞老,16.5,12.4,22,3.4,5.6,3,27,61,997.7,7.2,22.98
2020-05-12,乞老,14.3,10.5,18.9,0.7,5.4,2.9,47,69.4,995.1,5,13.6
2020-05-13,乞老,16.1,10.2,21.8,,6.5,2.8,24,47.3,1005.1,13,29.7
2020-05-14,乞老,19.3,12.4,25.4,,4.3,2,20,35.4,1006,6.6,20.64
2020-05-15,乞老,16.1,14.1,20.2,12,5.3,3,34,81.4,998.8,0,3.43
2020-05-16,绒老,16.7,15,20.3,2.5,3.3,1.6,74,90.3,996.6,0.6,7.6
2020-05-17,绒老,19.1,14.6,24.9,0,4.3,1.7,58,80.1,995.3,3.9,15.26
2020-05-18,乞老,19.1,13.2,26.8,29.8,7.2,2.4,46,79.4,988.4,3.2,14.07
2020-05-19,乞老,13,10.1,17.1,19,7.2,3.2,52,73.6,990.7,3,15.29
2020-05-20,乞老,14.4,9.2,20.1,0,3,1.9,46,60.4,1001.7,4.5,20.91
2020-05-21,乞老,17.4,10.9,22.9,,3.3,2.1,40,56.1,1004.4,9.4,24.35
2020-05-22,乞老,18.5,14.8,22.7,0,4.9,1.9,55,68.5,1002.7,0.7,13.07
2020-05-23,绒老,20.1,16.6,25,0,4.7,2.2,44,66.1,1001.1,6.8,23.24
2020-05-24,绒老,17.1,14.3,20.2,14.5,6.5,2.9,70,84.8,999.6,1.1,10.59
2020-05-25,乞老,16.6,13.7,21.3,,3.8,2.1,62,81,1002.3,2.5,16.88
2020-05-26,乞老,16.2,12.7,22.9,1.5,5.4,2.1,47,81.9,999.4,4.8,18.49
