,gender_female,gender_male,region_Chungcheung,region_Honam,region_Others,region_Sudo,region_Youngnam,edu,income,age,score_gov,score_progress,score_intention,vote,parties
0,0,1,0,0,0,0,1,1.0,0.6666666666666667,0.6666666666666667,0.25,0.25,0.75,1,2
1,0,1,0,0,1,0,0,0.5,0.6666666666666667,0.6666666666666667,0.25,0.75,0.5,0,3
2,0,1,0,1,0,0,0,0.0,0.3333333333333333,1.0,0.0,0.5,0.44999999999999996,1,4
3,1,0,0,0,0,1,0,0.5,0.0,0.6666666666666667,1.0,0.75,0.4,1,1
4,0,1,0,0,0,1,0,0.0,0.3333333333333333,1.0,0.75,0.5,0.35,1,1
5,0,1,0,0,0,1,0,0.0,0.3333333333333333,1.0,0.0,0.75,0.7,1,2
6,0,1,0,0,0,1,0,0.0,0.3333333333333333,1.0,0.75,0.75,0.25,1,1
7,0,1,0,0,1,0,0,0.5,1.0,1.0,0.5,0.75,0.65,1,3
8,0,1,1,0,0,0,0,0.0,0.3333333333333333,1.0,0.25,0.25,0.25,0,2
9,0,1,0,0,0,1,0,0.0,0.3333333333333333,0.6666666666666667,0.75,0.25,0.5,1,1
10,0,1,0,0,0,1,0,0.0,0.3333333333333333,0.6666666666666667,0.25,0.75,0.30000000000000004,0,2
11,1,0,0,0,0,0,1,0.0,0.0,0.6666666666666667,0.5,0.25,0.4,1,1
12,0,1,0,0,1,0,0,0.0,0.3333333333333333,1.0,0.5,0.25,0.5,1,1
13,0,1,1,0,0,0,0,0.5,1.0,1.0,0.5,0.5,0.35,1,3
14,0,1,0,0,0,0,1,1.0,1.0,0.6666666666666667,0.5,0.75,0.65,1,3
15,0,1,0,0,0,1,0,0.5,0.6666666666666667,0.6666666666666667,0.5,0.5,0.55,1,4
16,0,1,0,0,1,0,0,0.5,1.0,0.6666666666666667,0.75,0.5,0.75,1,4
17,1,0,0,0,0,1,0,0.5,0.3333333333333333,0.6666666666666667,1.0,0.75,0.4,1,1
18,1,0,0,1,0,0,0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.25,0.5,0,4
19,1,0,0,0,1,0,0,1.0,1.0,0.6666666666666667,0.5,0.5,0.5,1,1
20,0,1,0,0,0,1,0,0.0,0.0,0.3333333333333333,0.5,0.5,0.25,0,2
21,1,0,0,0,0,1,0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.75,0.30000000000000004,1,4
22,1,0,0,0,0,0,1,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,0.09999999999999998,1,4
23,0,1,0,0,0,1,0,0.0,0.6666666666666667,0.6666666666666667,0.5,0.75,0.15000000000000002,1,4
24,0,1,0,0,0,0,1,0.5,0.6666666666666667,0.6666666666666667,0.5,0.25,0.65,1,2
25,0,1,0,0,0,1,0,0.5,0.3333333333333333,0.3333333333333333,0.5,0.25,0.55,1,4
26,1,0,0,0,0,1,0,0.5,0.6666666666666667,0.3333333333333333,0.5,0.75,0.44999999999999996,1,1
27,1,0,0,0,0,1,0,0.5,1.0,0.6666666666666667,0.75,0.75,0.5,1,1
28,0,1,0,0,0,1,0,0.0,0.6666666666666667,0.6666666666666667,0.0,0.25,0.5,1,2
29,1,0,0,0,0,1,0,0.5,1.0,1.0,0.5,0.5,0.30000000000000004,1,3
30,0,1,0,0,0,1,0,0.0,0.6666666666666667,0.6666666666666667,0.25,0.25,0.35,1,2
31,0,1,1,0,0,0,0,1.0,0.6666666666666667,1.0,0.5,0.75,0.44999999999999996,1,2
32,0,1,1,0,0,0,0,0.5,1.0,1.0,0.5,0.5,0.65,0,4
33,0,1,0,0,1,0,0,0.5,1.0,1.0,1.0,1.0,0.55,1,1
34,0,1,1,0,0,0,0,0.5,1.0,0.6666666666666667,0.5,0.5,0.55,1,4
35,0,1,0,0,0,1,0,0.5,1.0,0.3333333333333333,1.0,0.5,0.4,1,4
36,1,0,0,1,0,0,0,0.0,0.6666666666666667,1.0,0.25,0.25,0.6,1,4
